magic,baseline_probe,-kpca,-gmm_score,-hist,-scaler,-gmm_stratify,-repeat,-gmm,-transductive,minimal,minimal_diag,minimal_-transductive,minimal_-gmm_stratify,minimal_reg0.05,minimal_reg0.3,minimal_reg0.5,raw_qda,raw_qda_reg0.5,gmm_bayes_k1,gmm_bayes_k2,gmm_bayes_k3,minimal_k3_s1,minimal_k3_s2,minimal_k4_s1,minimal_k4_s2,minimal_k5_s2,minimal_k5_s3,minimal_k5_s4,minimal_k6_s1,minimal_k6_s2,minimal_k7_s1,minimal_k7_s2,baseline_final,baseline_qda_avg4
0,0.9601495726495727,0.9432768620268619,0.9598595848595849,0.960454822954823,0.946001221001221,0.9588064713064713,0.9581654456654457,0.944871794871795,0.9458485958485958,0.9439636752136751,0.9497863247863247,0.9472069597069597,0.9490766178266178,0.942742673992674,0.9474053724053724,0.9495726495726494,0.9551739926739927,0.9492826617826617,0.9550518925518925,0.9406593406593405,0.9353021978021978,0.9533272283272283,0.958501221001221,0.951098901098901,0.9519841269841269,0.961256105006105,0.9577838827838827,0.9472985347985349,0.9607448107448107,0.9487484737484737,0.9579594017094016,0.9595619658119658,0.9568833943833943,0.9592414529914529
1,0.9314128102972725,0.9373582592706099,0.9318112166717745,0.9311523138216365,0.9198437021146185,0.9293365001532332,0.9318342016549187,0.9233067729083666,0.9099601593625498,0.9404382470119521,0.9119368679129636,0.908504443763408,0.9387373582592706,0.9403846153846154,0.9391817346000614,0.9385994483604043,0.9174839105117989,0.916227398099908,0.9174685871897027,0.9203034017775054,0.9185105730922464,0.9296582899172541,0.9360864235366226,0.9335044437634079,0.9352283174992337,0.9306159975482683,0.9369445295740116,0.9348452344468281,0.9350674226172234,0.9319644498927367,0.9286009806926141,0.9377873122893045,0.939288997854735,0.9378945755439779
2,0.9340110821083484,0.935239883378364,0.9338889652119491,0.9346979896505929,0.9293553754331333,0.9386438918654881,0.9341255666987224,0.9282257941414418,0.9195707591091572,0.9380562043015677,0.9281647356932423,0.9220894200973883,0.9385599364992139,0.9382012181160416,0.9383157027064156,0.938804170292012,0.9298591076307797,0.9285768802185892,0.9296759322861808,0.9403153668849507,0.9164415136389308,0.9396589885668055,0.9375677367159715,0.9425134710201339,0.9443299598540702,0.9399184869716536,0.9528628779899558,0.9509700660957702,0.9403306314970006,0.9453908503915371,0.9456503487963852,0.9377814412846698,0.9371403275785746,0.9357359832699852
3,0.9444299764085909,0.9368393639511015,0.9446138055700236,0.94445295505377,0.9474861362174085,0.9443993382150189,0.9479227304758111,0.9380648916939858,0.9399797787922425,0.9416189221483502,0.9439627439566163,0.9339210760133583,0.9425074297619411,0.9388997824688257,0.9460461411195196,0.9486963448635068,0.9449125279573516,0.9442231686019792,0.9446980606023467,0.9335763963356721,0.9398495664695609,0.9480069855081344,0.9531082447378902,0.9502588927356844,0.9509405925426637,0.9483823033793929,0.938984037501149,0.9499218726063912,0.944468274150556,0.9426759398265877,0.9485737920892183,0.9477389013143785,0.9487729403474371,0.9523039921566224
4,0.9508506904707408,0.9445105668726635,0.9511253528648813,0.9506446936751354,0.9427939269092851,0.9503929198138399,0.9518577859159227,0.9215686274509803,0.9195849546044098,0.9475700007629511,0.911635004196231,0.9141527428091859,0.9496528572518501,0.9457694361791409,0.9501792935072861,0.9520408941786832,0.9289997711146715,0.9242847333485924,0.9289692530708781,0.930235751888304,0.9346761272602426,0.9404592965590906,0.9465171282520791,0.9473258564126039,0.9465781643396658,0.9454261081864652,0.9471198596169985,0.9428625925078201,0.9569848172732127,0.9503624017700465,0.9508506904707409,0.949233234149691,0.9579156176089112,0.9559014267185474
5,0.965207837392419,0.9741118842702802,0.9653451748763964,0.9651162790697675,0.965024720747116,0.9683742293841177,0.9693890007935054,0.9552279802234023,0.956448757858756,0.9763245437343588,0.9619575169382898,0.9533968137703717,0.9754471098089484,0.9747604223890619,0.9740737349691754,0.9735091253128243,0.9617591405725447,0.958203625709577,0.9616981016907771,0.9583257034731124,0.943401696880913,0.9752029542818775,0.9665201733504242,0.9637734236708783,0.9649865714460112,0.962506866874199,0.9764237319172314,0.9629799182078984,0.9792620399194287,0.9766373680034182,0.973402307269731,0.9669245559421352,0.9694652993957151,0.969465299395715
6,0.9373024075875487,0.9311466439688717,0.937758390077821,0.9369756201361868,0.9284259484435797,0.9456392874513619,0.9376747932879378,0.9357976653696499,0.9367096303501945,0.9350224951361868,0.9392327334630352,0.9282587548638133,0.9446285262645915,0.9334645549610896,0.9404182879377431,0.9435189688715954,0.9354024805447472,0.9271947957198443,0.9356912694552528,0.9325145914396887,0.9250212791828794,0.9415050462062258,0.9408134727626459,0.9378039883268482,0.9358584630350194,0.9419382295719845,0.9427209995136187,0.9476912086575875,0.9402738934824901,0.9417102383268482,0.9382067728599222,0.9396507174124513,0.9419078307392995,0.9498343263618678
7,0.9533016924321273,0.953263540220062,0.9533474750866056,0.9534008881834969,0.9475025561982083,0.9540494757886062,0.9542020846368673,0.9467547728417295,0.9309597570467135,0.9545683458726937,0.9408335495292017,0.9323103453538235,0.9541334106551497,0.95520930303539,0.9527217788087353,0.9512414729806034,0.9473194255802951,0.9389717215804174,0.9475483388526866,0.9447327056022707,0.9358585010758923,0.9450760755108579,0.9476399041616433,0.9613899613899615,0.9544233674668459,0.95313382269904,0.9701191875104918,0.9685702077006426,0.9507683855509943,0.9709814275031667,0.9684710119492728,0.9720573198834068,0.9599096555618295,0.9601080470645689
8,0.9607977781847037,0.9577610938167612,0.9607519990233778,0.9612708295184033,0.9513672709515962,0.959554110968687,0.9626442043581762,0.9563114203747788,0.938976377952756,0.9590352804736617,0.9570744063968748,0.9521455166941343,0.9582188854300189,0.9588292742476958,0.9620032960996154,0.9625679057559666,0.9546175914057254,0.9539156442653972,0.9545565525239578,0.9501846426173474,0.9563877189769884,0.961530244765916,0.9592183971189648,0.9573490813648294,0.9640175791979491,0.958005249343832,0.9570896661173167,0.9597982664957578,0.9604162851736556,0.9619422572178479,0.9516419459195509,0.9481474699383506,0.9580357687847159,0.9626747237990599
9,0.9477659769273028,0.9424403344930721,0.947712567905756,0.9478727949703961,0.9371146920588416,0.9529085027162303,0.946369712506867,0.9338033327229446,0.9390526765549656,0.943226210095831,0.9354971616919978,0.931163401086492,0.9392510529207105,0.9430202038698651,0.9438442287737289,0.9435085149240066,0.9382439113715437,0.9357107977781848,0.9380302752853569,0.9367789782091193,0.9375724836720991,0.9431193920527375,0.9404565708356223,0.9507339925532564,0.9412195568577184,0.9409143624488799,0.9409601416102057,0.9436687419886468,0.9475294512604528,0.9479490935726058,0.946522309711286,0.9424784837941768,0.9455075383018983,0.9432948788378197
